Fecha,Temp_Max,Temp_Min,Ubicacion
2020-09-16,19.5,12.4,Lima
2020-09-17,18.9,14.4,Lima
2020-09-18,19.6,13.2,Lima
2020-09-19,20.5,13.2,Lima
2020-09-20,18.8,13.8,Lima
2020-09-21,18.8,13.4,Lima
2020-09-22,20.6,14.0,Lima
2020-09-23,19.8,13.4,Lima
2020-09-24,18.5,12.7,Lima
2020-09-25,19.6,13.4,Lima
2020-09-26,18.6,12.2,Lima
2020-09-27,18.6,13.2,Lima
2020-09-28,19.3,13.1,Lima
2020-09-29,17.1,12.9,Lima
2020-09-30,17.3,13.0,Lima
2020-10-01,18.5,11.6,Lima
2020-10-02,18.1,12.6,Lima
2020-10-03,19.4,13.1,Lima
2020-10-04,18.2,13.2,Lima
2020-10-05,17.7,12.2,Lima
2020-10-06,20.6,14.1,Lima
2020-10-07,18.9,12.3,Lima
2020-10-08,19.2,13.8,Lima
2020-10-09,17.8,13.4,Lima
2020-10-10,18.7,12.5,Lima
2020-10-11,19.3,14.4,Lima
2020-10-12,18.1,12.1,Lima
2020-10-13,19.6,13.7,Lima
2020-10-14,18.7,13.8,Lima
2020-10-15,19.0,12.5,Lima
2020-10-16,18.7,14.1,Lima
2020-10-17,21.2,12.8,Lima
2020-10-18,19.4,13.2,Lima
2020-10-19,18.4,13.2,Lima
2020-10-20,20.3,12.9,Lima
2020-10-21,18.2,13.7,Lima
2020-10-22,19.7,13.6,Lima
2020-10-23,17.6,11.6,Lima
2020-10-24,18.2,14.1,Lima
2020-10-25,19.8,11.7,Lima
2020-10-26,20.3,13.8,Lima
2020-10-27,19.8,13.9,Lima
2020-10-28,19.6,12.2,Lima
2020-10-29,19.4,12.7,Lima
2020-10-30,18.3,12.2,Lima
2020-10-31,19.1,12.9,Lima
2020-11-01,19.3,12.8,Lima
2020-11-02,20.9,13.7,Lima
2020-11-03,20.2,14.1,Lima
2020-11-04,18.2,14.2,Lima
2020-11-05,20.3,12.7,Lima
2020-11-06,19.6,12.9,Lima
2020-11-07,19.4,11.8,Lima
2020-11-08,20.7,12.5,Lima
2020-11-09,21.1,13.9,Lima
2020-11-10,21.1,14.5,Lima
2020-11-11,19.4,12.2,Lima
2020-11-12,19.9,12.7,Lima
2020-11-13,20.6,13.2,Lima
2020-11-14,21.3,13.4,Lima
2020-11-15,19.9,12.6,Lima
2020-11-16,20.2,13.6,Lima
2020-11-17,19.3,12.9,Lima
2020-11-18,19.3,13.3,Lima
2020-11-19,21.3,13.7,Lima
2020-11-20,21.9,13.3,Lima
2020-11-21,20.6,13.0,Lima
2020-11-22,21.7,13.3,Lima
2020-11-23,21.1,13.3,Lima
2020-11-24,20.1,13.1,Lima
2020-11-25,21.2,13.2,Lima
2020-11-26,22.4,14.7,Lima
2020-11-27,20.9,13.9,Lima
2020-11-28,22.5,13.3,Lima
2020-11-29,18.4,14.1,Lima
2020-11-30,21.9,13.3,Lima
2020-12-01,21.2,14.5,Lima
2020-12-02,20.9,13.9,Lima
2020-12-03,21.3,13.5,Lima
2020-12-04,19.3,14.0,Lima
2020-12-05,21.1,12.4,Lima
2020-12-06,21.7,12.8,Lima
2020-12-07,22.9,12.8,Lima
2020-12-08,20.9,13.9,Lima
2020-12-09,20.7,15.2,Lima
2020-12-10,21.1,15.6,Lima
2020-12-11,22.5,14.3,Lima
2020-12-12,22.0,14.2,Lima
2020-12-13,21.2,12.4,Lima
2020-12-14,22.3,13.5,Lima
2020-12-15,21.9,13.3,Lima
2020-12-16,22.8,13.5,Lima
2020-12-17,21.2,13.9,Lima
2020-12-18,21.6,13.6,Lima
2020-12-19,21.6,12.5,Lima
2020-12-20,20.6,14.7,Lima
2020-12-21,22.4,13.3,Lima
2020-12-22,22.4,14.3,Lima
2020-12-23,22.2,15.8,Lima
2020-12-24,22.0,13.5,Lima
2020-12-25,20.9,12.2,Lima
2020-12-26,22.0,14.0,Lima
2020-12-27,22.1,15.2,Lima
2020-12-28,21.7,15.9,Lima
2020-12-29,22.4,13.4,Lima
2020-12-30,23.0,14.8,Lima
2020-12-31,24.5,14.1,Lima
2021-01-01,22.8,14.4,Lima
2021-01-02,23.0,16.6,Lima
2021-01-03,22.7,13.3,Lima
2021-01-04,20.9,14.7,Lima
2021-01-05,22.8,14.9,Lima
2021-01-06,23.0,15.5,Lima
2021-01-07,25.4,14.7,Lima
2021-01-08,22.8,14.9,Lima
2021-01-09,23.3,14.4,Lima
2021-01-10,23.1,15.0,Lima
2021-01-11,22.0,14.5,Lima
2021-01-12,24.3,15.3,Lima
2021-01-13,24.0,14.6,Lima
2021-01-14,24.1,15.2,Lima
2021-01-15,22.4,14.9,Lima
2021-01-16,24.8,15.9,Lima
2021-01-17,22.0,14.9,Lima
2021-01-18,24.1,13.6,Lima
2021-01-19,25.7,16.1,Lima
2021-01-20,22.6,14.4,Lima
2021-01-21,23.0,14.6,Lima
2021-01-22,23.7,14.7,Lima
2021-01-23,23.2,16.3,Lima
2021-01-24,22.2,13.5,Lima
2021-01-25,23.8,17.8,Lima
2021-01-26,22.7,16.1,Lima
2021-01-27,24.3,15.5,Lima
2021-01-28,23.0,15.3,Lima
2021-01-29,25.5,15.6,Lima
2021-01-30,23.2,15.8,Lima
2021-01-31,23.7,16.0,Lima
2021-02-01,24.9,15.9,Lima
2021-02-02,22.9,15.6,Lima
2021-02-03,24.3,15.4,Lima
2021-02-04,25.5,15.5,Lima
2021-02-05,22.6,15.5,Lima
2021-02-06,24.4,16.6,Lima
2021-02-07,24.5,16.2,Lima
2021-02-08,25.1,13.4,Lima
2021-02-09,23.1,16.3,Lima
2021-02-10,23.0,15.9,Lima
2021-02-11,24.9,15.8,Lima
2021-02-12,24.7,15.5,Lima
2021-02-13,24.7,16.8,Lima
2021-02-14,24.8,16.7,Lima
2021-02-15,23.8,15.3,Lima
2021-02-16,24.8,16.3,Lima
2021-02-17,24.9,15.2,Lima
2021-02-18,23.9,14.9,Lima
2021-02-19,26.5,15.6,Lima
2021-02-20,25.1,16.8,Lima
2021-02-21,23.5,16.9,Lima
2021-02-22,25.3,16.6,Lima
2021-02-23,23.7,16.8,Lima
2021-02-24,25.5,16.6,Lima
2021-02-25,25.9,15.7,Lima
2021-02-26,24.0,16.6,Lima
2021-02-27,25.8,16.9,Lima
2021-02-28,25.2,16.9,Lima
2021-03-01,25.7,17.3,Lima
2021-03-02,26.7,16.9,Lima
2021-03-03,24.6,16.7,Lima
2021-03-04,24.1,17.3,Lima
2021-03-05,24.0,16.4,Lima
2021-03-06,24.1,15.8,Lima
2021-03-07,24.8,16.4,Lima
2021-03-08,25.3,15.9,Lima
2021-03-09,25.2,16.0,Lima
2021-03-10,25.8,16.4,Lima
2021-03-11,25.0,15.9,Lima
2021-03-12,26.4,16.3,Lima
2021-03-13,24.7,15.1,Lima
2021-03-14,27.7,16.8,Lima
2021-03-15,25.6,16.7,Lima
2021-03-16,24.1,16.0,Lima
2021-03-17,23.9,17.2,Lima
2021-03-18,25.5,17.5,Lima
2021-03-19,24.8,15.4,Lima
2021-03-20,25.7,16.1,Lima
2021-03-21,25.5,16.1,Lima
2021-03-22,24.9,16.0,Lima
2021-03-23,24.2,17.5,Lima
2021-03-24,23.5,16.7,Lima
2021-03-25,24.5,16.6,Lima
2021-03-26,25.8,15.2,Lima
2021-03-27,25.2,17.4,Lima
2021-03-28,23.7,15.9,Lima
2021-03-29,25.1,16.9,Lima
2021-03-30,25.3,17.1,Lima
2021-03-31,24.1,18.0,Lima
2021-04-01,25.1,15.9,Lima
2021-04-02,25.0,14.5,Lima
2021-04-03,23.8,17.1,Lima
2021-04-04,25.3,18.4,Lima
2021-04-05,25.5,17.9,Lima
2021-04-06,26.0,17.1,Lima
2021-04-07,25.9,16.6,Lima
2021-04-08,23.5,17.6,Lima
2021-04-09,23.9,16.2,Lima
2021-04-10,25.3,17.4,Lima
2021-04-11,25.3,17.4,Lima
2021-04-12,25.3,17.8,Lima
2021-04-13,28.6,19.2,Lima
2021-04-14,25.3,17.3,Lima
2021-04-15,25.9,16.6,Lima
2021-04-16,25.7,17.0,Lima
2021-04-17,25.3,15.6,Lima
2021-04-18,24.3,16.4,Lima
2021-04-19,25.4,16.7,Lima
2021-04-20,23.8,16.6,Lima
2021-04-21,24.3,17.1,Lima
2021-04-22,24.1,16.3,Lima
2021-04-23,24.6,17.9,Lima
2021-04-24,26.8,17.0,Lima
2021-04-25,22.6,17.0,Lima
2021-04-26,25.1,16.7,Lima
2021-04-27,22.8,17.1,Lima
2021-04-28,23.9,17.6,Lima
2021-04-29,25.4,16.3,Lima
2021-04-30,24.4,16.4,Lima
2021-05-01,23.2,16.7,Lima
2021-05-02,23.5,15.9,Lima
2021-05-03,24.9,16.3,Lima
2021-05-04,23.4,16.6,Lima
2021-05-05,24.4,17.6,Lima
2021-05-06,24.1,17.1,Lima
2021-05-07,23.4,17.1,Lima
2021-05-08,26.2,17.6,Lima
2021-05-09,24.6,16.8,Lima
2021-05-10,21.9,17.2,Lima
2021-05-11,24.1,16.8,Lima
2021-05-12,23.2,17.1,Lima
2021-05-13,24.7,16.4,Lima
2021-05-14,23.0,14.9,Lima
